[00:00:00] 我觉得可能是有史以来最激烈的一次科技竞争
[00:00:06] 有史以来最激烈
[00:00:07] 对
[00:00:07] 其实我觉得人年轻的时候就是把把都会上
[00:00:10] 把把都会上
[00:00:12] 对 就像打牌一样 把把都上
[00:00:14] 其实就有些牌可以不上
[00:00:16] 当时我觉得大家目标还是很想去上市
[00:00:20] 形成一个本雷达
[00:00:22] 大家都觉得资本市场总是改变性目标
[00:00:25] 但其实回头看资本市场是一个
[00:00:27] 很关键的活下去的一个中间节点
[00:00:30] 但上市真的不会改变任何本质的东西
[00:00:33] 哈喽 大家好 我是小骏
[00:00:49] 今天的嘉宾是应齐
[00:00:52] 他在担任智能驾驶公司千里科技的董事长之外呢
[00:00:56] 最近也迎来了一个
[00:00:57] 新的身份
[00:00:58] 出任大模型公司接月星辰的董事长
[00:01:01] 这次我和他聊了聊新身份
[00:01:04] 新阶段
[00:01:05] 以及从AI 1.0到2.0的转轨与反思
[00:01:09] 接下来是我对应齐的访谈
[00:01:11] 期待2016年我们和AI共同进步
[00:01:27] 访问应齐的观众朋友们
[00:01:31] 哈喽 应齐 先给观众朋友们打个招呼
[00:01:33] 嗨 大家好 我是应齐
[00:01:35] 听说你的身份马上会有一些新的变化
[00:01:37] 要不你先自己来做一个自我介绍
[00:01:39] 也聊聊接下来可能有的一些调整
[00:01:41] 我现在身份是千里科技的董事长
[00:01:44] 千里科技是一家A股上市公司
[00:01:46] 主要专注在AI跟车
[00:01:48] 以及未来可能机器人的一些结合上
[00:01:51] 接下来可能会有一个新的身份
[00:01:52] 就是接月星辰的董事长
[00:01:54] 接月星辰是一家专注在技术大模型的公司
[00:01:55] 是一家专注在技术大模型的公司
[00:01:57] 所以这可能也是一个
[00:01:59] 对我来说一个比较大的一个变化吧
[00:02:01] 为什么是在这个时间点有这个变化
[00:02:04] 这个时间有考虑吗
[00:02:05] 对 我自己其实
[00:02:07] 算是一个AI创业的老兵吧
[00:02:10] 今年可能接近15年的
[00:02:12] AI的行业的历程
[00:02:14] 那总体上我觉得一直是
[00:02:17] 沿着技术和模型这条线
[00:02:19] 那大家现在可能讲有AI 1.0 有2.0
[00:02:22] 那接月星辰也是
[00:02:24] 我一直有一个
[00:02:25] 深度参与的一家企业
[00:02:27] 那到今天可能正式出任它的董事长
[00:02:30] 可能也是认为在一个新的阶段吧
[00:02:32] 希望能够投入更大的精力
[00:02:33] 能够支持接月的发展
[00:02:36] 同时我觉得
[00:02:37] 所有AI的产业是以模型为中心的
[00:02:40] 所以也希望接月和现有的
[00:02:42] 包括千里等
[00:02:43] 可能这些相关的产业
[00:02:45] 都能有些更好的结合
[00:02:46] 所以对我来说也是个新的挑战吧
[00:02:49] 因为大模型这个战场还是很残酷的
[00:02:51] 所以可能自己也需要加倍努力吧
[00:02:55] 是谁邀请你参与接月工作的
[00:02:57] 这个事情是怎么开始的呀
[00:02:59] 接月其实从最早的策划角度
[00:03:00] 我觉得就有参与进来
[00:03:02] 那早期其实
[00:03:04] 应该还是23年
[00:03:05] 接月是23年4月份成立的
[00:03:07] 所以在最早期就有深度参与
[00:03:10] 因为从当时身份角度来看
[00:03:12] 大模型是一个
[00:03:14] 第一其实是符合我自己对AI的一个很终极的追求吧
[00:03:17] 对于所谓这个技术的终极的AGI的这样的一个使命的想法
[00:03:22] 同时这个技术的变革也需要一个
[00:03:25] 好的平台来去承接
[00:03:26] 所以最早我就有深度参与到这个平台里
[00:03:29] 那现在正式加入的话
[00:03:31] 对我来说也是一个很高兴的一个节点吧
[00:03:33] 你们当时的故事能不能跟我们讲讲
[00:03:36] 对最早期我觉得可能
[00:03:38] 当时其实我觉得是还是openAI的这个checkGPT
[00:03:41] 引爆了大家对于大语言模型的这样的一个技术的变革吧
[00:03:45] 22年底
[00:03:47] 其实我们在这个行业内其实也都一直很关注
[00:03:49] 其实从GPT-1开始
[00:03:51] 从openAI
[00:03:52] 甚至说从openAI创立开始吧
[00:03:53] 我们都也都很关注
[00:03:55] 其实项目矿石科技本质上是
[00:03:57] 大家叫在计算机世界领域
[00:04:00] 所以我们当时做的模型是第一天就深度学习的
[00:04:04] 所以其实技术上是非常非常延续的
[00:04:06] 但那个时候可能从模型的尺寸和参数量都比较小
[00:04:10] 那语言模型其实在我们传统意义上来讲是另外一个赛道
[00:04:14] 因为当我在学习AI的时候
[00:04:15] 当时AI分得非常非常细
[00:04:18] CV就是computer vision是一个领域
[00:04:20] 然后比如data mining是一个领域
[00:04:23] 自然源处理是一个领域
[00:04:24] 每个领域
[00:04:24] 有各自的赛道
[00:04:26] 那我自己其实是对于跟物理世界结合是最感兴趣
[00:04:29] 所以选择了CV这个赛道
[00:04:31] 然后所以在openAI真正CHAT-GB推出之后
[00:04:36] 我觉得一开始我对这个技术判断认为
[00:04:38] 可能还是一个局部的变革吧
[00:04:42] 认为它可能更多是跟语言相关
[00:04:44] 那我自己因为对
[00:04:45] 一开始觉得它是一个局部的变革
[00:04:46] 对
[00:04:48] 然后但后来其实深度体验完CHAT-GB-T
[00:04:51] 包括我们也内部跟很多技术的核心的骨干
[00:04:54] 也做了很多讨论之后
[00:04:54] 觉得这还是一个对于整个AI底层技术的一个变革
[00:04:59] 所以可能作为一个AI创业者
[00:05:01] 是不得不入局的一场战斗吧
[00:05:05] 多长时间发现这个事情
[00:05:07] 可能用了半年时间吧
[00:05:09] 因为坦诚讲当我们在看那个机会的时候
[00:05:11] 我觉得我们都会从两个角度来评估
[00:05:13] 第一是技术上是不是最本质的技术变革
[00:05:16] 第二个其实从商业上是不是我们自己的赛道
[00:05:19] 那如果第一个判断是非常非常确定的
[00:05:23] 可能第二个坦诚讲
[00:05:24] 我们在看大元模型的时候
[00:05:26] 因为大元模型从它的比如它的数据
[00:05:29] 它的模型参数量和它所需要的算力
[00:05:32] 其实原则上可能更适合已有的
[00:05:34] 比如像互联网公司这些科技巨头来做
[00:05:37] 但是后来会发现它其实是对于各个领域
[00:05:41] 包括语言
[00:05:41] 包括现在我们已经很熟悉的多模态
[00:05:44] 甚至是包含从现在比较热的物理
[00:05:47] 去升这些可能都是最底层的技术
[00:05:50] 那我们可能就不得不去参与到这样一场大的变革当中
[00:05:54] 当时有想过在矿石的体系里做吗
[00:05:56] 而且为什么叫节约星辰
[00:05:57] 第一个我自己感觉就是
[00:06:00] 矿石自身的路径是非常非常清晰的
[00:06:04] 当时我们其实是认为用AI跟IoT的硬件去做结合
[00:06:08] 所以那个时候我们的不管是技术路线
[00:06:10] 整个组织的构建
[00:06:12] 其实构建的是一个偏软硬结合的这样一套组织形态
[00:06:15] 我们的商业模式是面向弊端的
[00:06:17] 所以这些我觉得已经经过十多年的时间
[00:06:19] 已经非常的清晰
[00:06:21] 某种程度上甚至说固化
[00:06:24] 那一套组织是并不适合去做一个
[00:06:27] 可能还是非常早期
[00:06:28] 非常大投入这样的一次全新的创业的
[00:06:31] 就是这种research驱动的一个创业
[00:06:34] 就是research驱动我们很熟悉
[00:06:36] 其实矿石早期的时候就是
[00:06:38] 我们其实当时人才密度是非常非常高
[00:06:40] 然后也非常research驱动
[00:06:42] 那后来当一个组织成长
[00:06:44] 相当于从一个婴儿到一个少年
[00:06:47] 他其实可能已经选定了自己的专业和方向的时候
[00:06:50] 我觉得可能本质上大模型会是一个新的
[00:06:54] 一个诞生的一个组织和一个平台
[00:06:57] 所以最早期我们的想法是希望
[00:06:59] 矿石能跟街域有非常好的合作的
[00:07:01] 那后来可能一步一步发展到今天
