[00:00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:00:30] 今天这场对话让我感受到了一种冰冻解封后的人间烟火气息
[00:00:36] 今天坐在我对面的是华人青年科学家谢赛宁
[00:00:41] 他刚刚和图灵奖得主杨立坤一起踏上了创业的旅程
[00:00:46] 他们的Neolab AMI刚刚完成了第一笔超大规模的融资
[00:00:51] 目前团队规模为25人
[00:00:54] 谢赛宁一直告诉我
[00:00:56] 他不是那个天选之子
[00:00:58] 他是普通的那一个
[00:01:00] 那接下来就是我对谢赛宁的访谈
[00:01:04] 我今天早上我们在纽约就是布鲁克林拍空镜
[00:01:26] 我觉得这里我很喜欢这里
[00:01:28] 因为我住在时代广场那边
[00:01:30] 我觉得那边还是一个非常刻板印象的纽约
[00:01:32] 但是好像来到这里就是一个充满了艺术气息和生活气息的纽约
[00:01:37] 是啊 我觉得Dumbo这边当然非常艺术
[00:01:40] 很多电影里面我们之前有个韩国电影叫过往人生
[00:01:44] 他们那边拍你可能看到的旋转木马
[00:01:48] 然后那边的Dumbo大桥
[00:01:49] 时代广场只有游客才会去
[00:01:52] 真正的纽约人是不会去的
[00:01:55] 但其实NYU附近其实也很好
[00:01:58] 叫做Greenwich Village
[00:02:00] 然后那边也是一个村
[00:02:01] 然后那边也很有生活气息
[00:02:04] 你为什么会来纽约做学术呀
[00:02:07] 这好像不是一个很多人的选择
[00:02:11] 倒也不是吧
[00:02:11] 但是历史比较长的确实是各种原因吧
[00:02:15] 我觉得当然也是因为我确实比较向往这个城市
[00:02:20] 向往这个城市里面的很多的元素
[00:02:23] 它的一些人
[00:02:24] 然后包括NYU其实也是
[00:02:26] 然后当然
[00:02:28] 主要的原因还是因为Young
[00:02:30] 然后像AI的这些efforts
[00:02:32] 对吧
[00:02:33] NYU确实做的很不错
[00:02:35] 但另一方面NYU还有很强的电影学院
[00:02:38] 对
[00:02:39] 然后我喜欢的很多导演像是Martin Scorsese
[00:02:43] 包括最近赵婷什么都是NYU的毕业生
[00:02:46] 所以也是partly the reason吧
[00:02:49] 也是也是也是也是一些原因
