[00:00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:00:30] 一位00后的华人女孩 名字叫洪乐彤
[00:00:33] 她的探索方向是AF4Net
[00:00:36] 所创办的公司Oxfam
[00:00:38] 刚刚完成了估值为16亿美元的A轮融资
[00:00:41] 而它引起了很多人的关注
[00:00:43] 则来自于这样一条新闻
[00:00:45] 57岁的美国终身教授突然辞职
[00:00:49] 去给24岁的华人女孩打工
[00:00:52] 那接下来就是我对洪乐彤的访谈
[00:00:55] 因为我确实在每一个时期
[00:00:57] 都觉得自己是那个环境里面
[00:01:00] 最愚蠢的那一个
[00:01:01] 最怎么样努力都看不到结果的那一个
[00:01:04] 在你的心目中AF4Net
[00:01:05] 它在整个AI的大地图上
[00:01:07] 它应该划在哪个地方
[00:01:09] 我觉得大部分我知道的就是
[00:01:11] 创业公司的创始人
[00:01:16] 他们都对苦难上瘾
[00:01:17] 我听下来我会有一个问题
[00:01:19] 因为现在coding也很火
[00:01:20] 那用math作为手段和用coding作为手段
[00:01:23] 去执行任务的区别会是什么呢
[00:01:25] 没有人喜欢这种词
[00:01:27] 没有人喜欢这种词
[00:01:29] 它不是说难结果难
[00:01:32] 它就是累
[00:01:33] 你是一个复读机
[00:01:37] 你一次一次地说一样的事情
[00:01:39] 你一次一次地接到一样的问题
[00:01:43] 真的我就能
[00:01:44] 我可以把它录下来
[00:01:45] 然后我就给你们大家发
[00:01:47] 你们反正问题也是一样的
[00:01:49] 但是从这一些大量的
[00:01:53] 比较无聊的过程中
[00:01:55] 有一些让人很激动的谈话
[00:01:57] 通常这一些谈话
[00:01:59] 是你最终选择的
[00:02:01] 选择了同志人
[00:02:02] 比如说我印象特别深刻的
[00:02:03] 我们最后的领头方
[00:02:05] 我跟Howard Morgan
[00:02:07] 就是有一个对话
[00:02:09] 哈喽 乐彤
[00:02:17] 还是先给观众朋友们打个招呼
[00:02:18] 并且做一个简单的自我介绍
[00:02:20] 哈喽 小俊
[00:02:21] 谢谢你邀请我
[00:02:22] 我是红乐彤
[00:02:24] AXIEM的创始人和CEO
[00:02:26] 对
[00:02:27] 我想我们的聊天
[00:02:29] 可以从一个故事开始
[00:02:31] 就是很多数学家在说
[00:02:32] 自己被数学打动的那个时刻
[00:02:35] 都叫做被数学击中的时刻
[00:02:37] 比如说高斯就说像闪电一样
[00:02:39] 你自己有过这样的时刻吗
[00:02:40] 我就是自己解题的过程中
[00:02:43] 这个稍微就是低频率一些
[00:02:45] 但是我经常在看别人结果的时候
[00:02:48] 有一种
[00:02:48] 哇 这个东西怎么这么美的一个感受
[00:02:50] 我印象中特别深
[00:02:52] 其中一个例子就是说
[00:02:55] 第一次看到这个
[00:02:56] 模形式椭圆曲线定理
[00:02:59] 每一个这种模型式
[00:03:01] 它都对应着一个椭圆曲线
[00:03:04] 相当于是把一个比较代数性的
[00:03:07] 一些一个表达式
[00:03:08] 和一个更几何性的一种几何物体
[00:03:14] 就是联系起来
[00:03:15] 然后我觉得就是数学中这种
[00:03:17] 两个领域
[00:03:18] 然后它们相当于中间有一个交集的
[00:03:22] 这样的一个例子
[00:03:23] 还是每一次我都是觉得非常非常非常优美的
[00:03:26] 然后我印象中就是还有另外
[00:03:29] 的比如说概率
[00:03:30] 然后物理
[00:03:31] 那里面又有一堆的
[00:03:32] 可以就是让我觉得非常就是有意思的结果
[00:03:36] 然后我自己解题的话
[00:03:38] 还是就是小的时候可能见的不太多
[00:03:40] 就是觉得数学还能还能这么玩
[00:03:43] 就是当时从初等数论的时候
[00:03:45] 一直推推到这个二次互反率
[00:03:47] 我当时在美国的一个叫罗斯夏林
[00:03:49] 然后他每一天就给你
[00:03:52] 每一天给你一个题集
[00:03:53] 然后你要把它全部做完
[00:03:55] 还挺多题呢
[00:03:56] 全部做完才能拿第二天的题集
[00:03:58] 像游戏打怪一样
[00:03:59] 然后
[00:03:59] 然后我自己就觉得
[00:03:59] 如果你做不完所有的题
[00:04:00] 他就不给你下一个题集
[00:04:02] 然后你就看你隔壁的那个同学
[00:04:04] 已经就比你就是多了三个题集
[00:04:06] 有更多有意思的
[00:04:07] 可能是正确的东西
[00:04:08] 但是由于你的证明能力还没有跟上
[00:04:10] 你一直到不了
[00:04:11] 然后到最后到二次互反率的时候
[00:04:13] 就是他给你呈现了很多的证明
[00:04:15] 我在这个过程中
[00:04:16] 一定是觉得有被数学击中的时刻
[00:04:18] 然后就是觉得非常表达非常简洁的东西
[00:04:22] 他后面的这个证明可以很深
[00:04:24] 然后也可以有很创造力的一些解法
[00:04:27] 我有一个问题
[00:04:28] 他可能会很好回答
[00:04:29] 也可能会很难回答
[00:04:29] 也可能会很不好回答
[00:04:30] 就是有一天我跟AI在谈论数学的时候
[00:04:33] 他提到数学是一种结构的语言
[00:04:35] 所以我想知道从你的视角来定义
[00:04:37] 数学到底是什么
[00:04:38] 对
[00:04:38] 这个确实不太好回答
[00:04:41] 我觉得数学它有一点像是说
[00:04:45] 是人类我们决定说去
[00:04:47] 创造一个文明的体系
[00:04:50] 然后在这个文明的体系里面
[00:04:52] 由于一些
[00:04:53] 就是我们愿意去说是
[00:04:58] 我们认为
[00:04:59] 是对的一些公理
[00:05:00] 然后往上去搭建
[00:05:02] 就是我们
[00:05:02] 它其实某种程度上是数学家
[00:05:04] 它有一个契约
[00:05:05] 就是说哪一些东西我们是愿意接受
[00:05:07] 是理所当然的
[00:05:09] 然后在这些东西上面
