[00:00:00] 大家好,我是小骏
[00:00:05] 2026年,大模型战争全面升级,揭开了第二幕
[00:00:11] 从预训练主导的Chabot时代,转向了后训练主导的Agent时代
[00:00:17] 在AI范式巨变之际,我访谈了人工智能研究员罗弗利
[00:00:22] 罗弗利曾供职于阿里达摩院DeepSeek
[00:00:26] 目前是小米大模型团队的负责人,主导研发了MIMO VR系列模型
[00:00:32] 他在网络空间里有很多的标签,例如AI天才少女
[00:00:36] 但他不喜欢这个称呼
[00:00:38] 这是他的第一次访谈,也是他第一次进行长时间的技术访谈
[00:00:44] 我们系统性的谈论了2026年由Cloud Opus 4.6
[00:00:50] Open Cloud等技术变量所触发的AI矩阵
[00:00:54] 以及后续的结构性影响
[00:00:56] 罗弗利预判称,接下来两三个月会非常精彩
[00:01:01] 那接下来就是我对弗利的访谈
[00:01:04] 期待2026年,我们和AI共同进步
[00:01:09] 这些能力都是可以被,我觉得最多一两个月
[00:01:18] 慢的话三四个月,确实都可以被快速吸得
[00:01:21] 所以环境反而比经验更重要
[00:01:24] 你刚才也提到ET的模型
[00:01:26] 可能是未来竞争的一个入场圈
[00:01:28] 是这样吗
[00:01:30] 是Agent的,你要做到接近Cloud的4.6 Opus的水平的这样一个入场圈
[00:01:38] 那我如果说我们这样子来说
[00:01:41] 就是For研究跟For Print Train和For Post Train
[00:01:45] 我自己觉得一个非常合理的卡的一个比例是
[00:01:49] 可能3比1比1
[00:01:51] 对
[00:01:52] 就Print Train Post Train应该比例是
[00:01:55] 投入的算是3比1比1
[00:01:56] 相当的
[00:01:57] 研究的比例应该至少是你正式起训练的卡总量的还要多一点
[00:02:02] 就你要额外留更多的卡来去做研究
[00:02:05] 你过年的时候也跟我说
[00:02:18] 就是你觉得技术这几个月其实已经变天了
[00:02:21] 能不能阐述一下你觉得过去两个月的这个技术的突变
[00:02:24] 嗯
[00:02:25] 我觉得
[00:02:25] ,嗯
[00:02:26] 一个非常大的一个分界点在于使用Open Cloud的前后
[00:02:33] 我自己其实是会把Open Cloud把它当作一个划时代的Agent的框架去这么去定义
[00:02:38] 嗯
[00:02:39] 我知道很多人在尤其是用Cloud Code做严肃编码的人
[00:02:43] 就会觉得OK
[00:02:44] Open Cloud只是Cloud Code加一个AM的这样的一个
[00:02:49] 更有利于交互的一个UI的一个设计
[00:02:52] 其实在我
[00:02:54] 嗯
[00:02:54] 一月份的时候
[00:02:55] 我第一次看到这个东西的时候
[00:02:57] 我我自己大概也是这样认识
[00:02:59] 所以我很排
[00:03:00] 我很排斥去用它
[00:03:01] 然后我觉得嗯
[00:03:03] 再加上他创始人
[00:03:05] 我觉得非常适合贴近Agent的去做一些非常玄幻的一些运营的动作
[00:03:12] 所以嗯
[00:03:14] 就包括那个SkillHub啊
[00:03:15] 这些的就让你更去排斥去用一个你觉得非常的偏运导向的一个产品的东西
[00:03:24] 对
[00:03:25] 感觉它是一个产品
