[00:00:00] Hello大家好,我是小骏
[00:00:02] 站在今天这个SpaceX IPO的历史性时刻
[00:00:07] 我们决定加更一集节目
[00:00:08] 我邀请了SpaceX前火箭首席制造工程师洪立德
[00:00:14] 一起来聊聊随着SpaceX收购整合XAI
[00:00:18] 并完成截至目前史上的最大的一期IPO
[00:00:21] 那在太空与AI加速融合的背景之下呢
[00:00:25] 这会不会是人类文明扩张的前奏
[00:00:28] 你今天开始从这里开车到洛杉矶
[00:00:34] 也就是你刚好开进你的家门口的时候
[00:00:38] 你最后一滴油刚刚好用完了
[00:00:42] 这个就是火箭
[00:00:44] 这SpaceX第一个找
[00:00:48] 然后来扩张整个SpaceX生产并且开发流程的
[00:00:53] 其实是一批Mini Cooper的团队
[00:00:56] 银行第一句话来问
[00:00:59] 你有没有看过可乐罐的生产
[00:01:03] 他直接来一句就很淡定的
[00:01:06] 说好那我接受你的辞呈
[00:01:09] 我们的竞争对手是我们自己
[00:01:13] 但是我们密切关注中国航天的发展
[00:01:19] 哈喽路人们
[00:01:26] 要不先给观众朋友们打个招呼
[00:01:27] 并且做一个简单的自我介绍
[00:01:29] OK好大家好我是Lewis
[00:01:32] 我是Aries Fund的共同创始人
[00:01:35] 那也是GP
[00:01:36] 对我们是一个早期被在LA的美国的VC
[00:01:40] 我们专门投美国的银科技项目
[00:01:42] 不管是在太空能源还是现在的所谓的这个Physical AI
[00:01:46] 那我早期呢一开始我是在SpaceX
[00:01:49] 我在早12年的时候加入SpaceX
[00:01:52] 在SpaceX待了7年
[00:01:54] 那个时候到19年的时候
[00:01:56] 离开
[00:01:57] 那离开的时候管7个部门
[00:01:59] 有3千多个火箭部位
[00:02:01] 那我离开SpaceX以后
[00:02:03] 去加入一家电池公司
[00:02:04] 那在19年20年我们非常好运
[00:02:07] 就抓到这个EV这个风口
[00:02:09] 那那个时候呢也顺利的在那个20年的时候退出了
[00:02:13] 那并且我在这家公司认识我现在的partner
[00:02:15] 那他来自于特斯拉
[00:02:17] 那是特斯拉那个时候不管是Fremont
[00:02:20] 然后还有这个创立上海超级工厂的高管
[00:02:23] 4080电型
[00:02:25] 那我们两个
[00:02:26] 一起在商家公司认识
[00:02:28] 那并且呢共同呢看到了美国
[00:02:30] 接下来这个20年的这个黄金的这个硬科技的这个机会
[00:02:34] 那决定呢一起离开公司
[00:02:36] 在2020年时候开始做天使投资
[00:02:38] 那去年成立了我们第一个基金
[00:02:41] 对那做Ares Fund
[00:02:42] 那开始来这个基本上来支持所有的这些硬件创业者
[00:02:46] 我们今天邀请Louis是希望
[00:02:48] 你能给我们聊一聊整个航天业
[00:02:52] 因为你对这个非常了解
[00:02:54] 你在SpaceX非常多年
[00:02:56] 然后后来也一直投资这个产业
[00:02:58] 那我自己有一种感觉
[00:03:00] 就是我觉得现在可能对于航天业
[00:03:02] 处在一个非常奇妙的转折点上
[00:03:04] 你看今年年初SpaceX收购了FCAI
[00:03:08] 然后大家也觉得SpaceX今年会上市
[00:03:11] 所以今年可能是SpaceX的IPO年
[00:03:13] 你是怎么看待这个时间点的
[00:03:15] 我觉得今年呢从两个纬度去看这个时间点吧
[00:03:20] OK如果从市场的角度
[00:03:22] 可以的确今年感觉上是一个你知道吗
[00:03:26] 太空的一个chat GPT moment
[00:03:28] OK就之前大家可能都可能对这个行业
[00:03:32] OK可能好奇
[00:03:35] 但是呢你说你说真的conviction吗
[00:03:37] 没有这个conviction
[00:03:39] 对但今年OK从Elon
[00:03:41] 可以说他要这个SpaceX的IPO开始
