[00:00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:00:30] 谈了Physical Intelligence派的研究科学家科里一鸣
[00:00:34] 这是一家在硅谷做机器人大脑的备受瞩目的实验室
[00:00:39] 业内人士把他们比作机器人的OpenAI
[00:00:42] 那今天呢我邀请的是一位在本土探索原生巨声机座模型的公司
[00:00:48] 是由蚂蚁集团孵化的子公司蚂蚁林波
[00:00:52] 目前刚发布了第二代的巨声基础模型
[00:00:55] 我与他的首席科学家沈宇军聊了聊
[00:00:58] 如何从预训练开始训一个机器人的底座
[00:01:02] 瓶颈是什么 机器人的GPT-1 Moment到底在哪里
[00:01:07] 大家也能从中感受一些中美思路的融合与差异
[00:01:11] 那接下来就是我对沈宇军的访谈
[00:01:14] 期待2026年我们和AI共同进步
[00:01:18] 我还是很坚信巨声一定会有自己的模型
[00:01:26] 就是这个观点
[00:01:28] 如果不变的情况下
[00:01:29] 那它的数据必须要支撑它可以做自己的模型
[00:01:33] 如何把数据很好的scale up是一个至关重要的点
[00:01:37] 不及预期的有吗
[00:01:38] 不及预期数据
[00:01:40] 我觉得从现在行业来看
[00:01:43] 大脑可能是目前是落后于本体的
[00:01:47] 如果机器人有性格的话
[00:01:49] 你希望他是什么性格
[00:01:50] 我希望他是个J人
[00:01:51] 他好干活
[00:01:52] 对 我觉得他核心还是要实用
[00:01:58] 大家好 已经先给观众朋友们打个招呼
[00:02:05] 大家好 我是沈宇军
[00:02:07] 现在是在蚂蚁林博科技担任手艺会员家
[00:02:10] 之前在清华 然后后来到了港中文
[00:02:12] 对
[00:02:13] 讲讲你在人物智能上的一系列探索
[00:02:15] 也是阴差阳错吧
[00:02:17] 然后当时我在清华读书的时候
[00:02:19] 刚好赶上大三
[00:02:21] 然后那个时候是商汤刚成立的时候
[00:02:24] 2014年底商汤成立嘛
[00:02:25] 然后我们大三要求是必须要有一个
[00:02:28] 这个暑期的实习
[00:02:29] 然后当时商汤就正好在清华的东门门口
[00:02:33] 然后当时反正就去了跟AI相关的这个领域吧
[00:02:37] 在那个商汤一直干到大学毕业
[00:02:40] 然后就刚好去那个港中文汤老师里面去读了个书
[00:02:45] 然后去的时候其实也比较迷茫
[00:02:47] 因为当时AI虽然说比较火
[00:02:50] 但是也不知道自己到底喜欢做什么
[00:02:53] 然后就尝试了很多方向吧
[00:02:56] 然后像其实
[00:02:58] 本来那个港中文吧
[00:02:59] 港中文比较擅长的
[00:03:01] 其实像这种检测分割啊分类啊
[00:03:03] 这个他们当时也是拿了比较多的冠军
[00:03:05] 但其实我个人对这个就是打榜啊
[00:03:08] 这个事情最后就看一个number这个事情
[00:03:10] 我坦白讲我自己不是非常感兴趣
[00:03:13] 对然后呢
[00:03:15] 那个时候刚好有一个技术火起来了
[00:03:17] 当时叫对抗生成网络
[00:03:19] 就是干
[00:03:20] 对对对
[00:03:21] 然后那个技术火起来之后呢
[00:03:23] 其实就有很多人在这方面做探索嘛
[00:03:25] 然后那个时候
[00:03:26] 我对这个事情就感觉
[00:03:27] 比较有意思
[00:03:28] 因为它是能真的能生成一张图
[00:03:30] 然后让大家去看
[00:03:31] 然后甚至于你可以去做一些简单的编辑什么
[00:03:34] 然后那个时候我就从就是算是选择了说
[00:03:39] 我可能接下来要再做这个
[00:03:41] 可能是想要往这个生成模型这个方向去做
[00:03:43] 对然后当时做的也是比较早
[00:03:45] 从17年开始就就是做生成模型
[00:03:51] 然后可能坐着坐着
[00:03:54] 然后那个时候也是有一系列比较火的工作出现嘛
[00:03:57] 尤其是像style干那个系列的时候
[00:03:59] 然后坐着坐着
[00:04:00] 因为我刚开始做生成
[00:04:02] 然后做做生成
[00:04:03] 那个时候比较火的可能就是一些图像编辑相关的东西
[00:04:07] 就是你怎么把它按照你想要的方式去调整一下呀
[00:04:11] 比如说把你变得更漂亮一点啊之类的
[00:04:14] 然后那坐着坐着就会发现好像坐的太下游了
[00:04:17] 然后就想把这个东西看看能不能再往前坐一坐
[00:04:21] 就是从编辑再往前坐
[00:04:23] 那就是现在可能大家会讲的更多就是叫预训练嘛
[00:04:27] 对
[00:04:27] 其实还没有这个概念
[00:04:28] 说白了就是想训这个生成模型
[00:04:30] 对
[00:04:31] 然后但是再训一训就会发现
[00:04:33] 好像这个东西完全有点不太能受自己的控制
[00:04:38] 就是你除了
[00:04:40] 因为那个时候还没有说什么堆参数量啊这些
[00:04:42] 还没有这个相关的说法
[00:04:43] 然后就是感觉坐着坐着也不知道怎么能让这个模型变得更好了
[00:04:47] 然后就开始想说那我再往前一步
[00:04:51] 就是从生成之前呢就是做表征嘛
[00:04:53] 然后可能就是这么一步一步的
[00:04:56] 从最开始
[00:04:57] 对数字不感兴趣
[00:04:58] 然后对生成内容感兴趣
[00:05:00] 然后再从编辑
[00:05:01] 然后再做到底层的训练
[00:05:03] 然后再从底层训练再往前坐
[00:05:05] 做到表征学习
[00:05:06] 可能基本上一路就是这么过来的吧
[00:05:09] 什么时候发现gan不能scale
[00:05:12] 这是一个挺有意思的故事啊
[00:05:14] 就是我们甚至于在今年
[00:05:17] 今年年初的时候
[00:05:20] 还在尝试做最后一次尝试
[00:05:23] 然后
[00:05:24] 还没死性
[00:05:24] 对就是哪怕是在diffusion火了之外呢
[00:05:27] 之后嘛
[00:05:28] 然后后面有大家又开始用自回归
[00:05:30] 也去做一些这个生成
[00:05:32] 然后哪怕是这样的时候
[00:05:33] 我还是就是我们团队还是坚持
[00:05:36] 做了一段时间gan的scale up
[00:05:39] 然后怎么说呢
[00:05:41] 其实是取得了一定的效果吧
[00:05:45] 就是我们前一阵子做的一个gan的模型
[00:05:47] 会release出来啊
[00:05:48] 然后那个时候会发现
[00:05:49] 跟diffusion比确实是在某些方面没那么好
[00:05:52] 但是也比之前的前几年的技术
[00:05:55] 其实还是要进步不少的
[00:05:57] 对就是说它还是有它的价值
[00:05:59] 但是它最大的问题
[00:06:01] 还是计算量的利用效率太少了
