[00:00:00] Hello 大家好,我是小骏
[00:00:03] 今天我们的嘉宾是游凯超
[00:00:06] 他是创业公司Infrot的联合创始人兼首席科学家
[00:00:09] 那这个公司很特殊
[00:00:11] 他是从伯克利一个校园开源项目VLLM演化而来
[00:00:17] 这个社区的核心维护者用了将近三年的时间
[00:00:20] 把它从一篇算法论文变成了一个开源社区
[00:00:24] 又变成了一个公司的正常运营
[00:00:27] 这些维护者们放弃了大量的个人诱惑
[00:00:30] 坚持着他们所相信的开源精神
[00:00:33] 那今年初Infrot也获得了1.5亿美元的种子轮融资
[00:00:37] 所以我们也讨论了当一个寄托着社区情怀的开源项目
[00:00:42] 变成一个商业化的组织运营之后
[00:00:45] 他所面临的抉择转变与思考
[00:00:48] 那另外一方面呢
[00:00:49] 我们也非常希望在AI Infra的技术前沿上
[00:00:53] 给大家带来一些新的思路
[00:00:54] 所以我也和游凯超聊了聊
[00:00:57] 在AI Infra
[00:00:59] 模型结构甚至连Honest Engineering都要联合设计的时代背景之下
[00:01:04] 那这个多方的联合设计应该怎么做
[00:01:07] 那接下来就是我对游凯超的访谈
[00:01:10] 期待2026年我们和AI共同进步
[00:01:14] 最后我们是怎么说动他的呢
[00:01:16] 就是小之以情动之以理
[00:01:19] 就是最后跟他说
[00:01:21] 你如果不跟我们一起创业
[00:01:24] 你赚到了很多钱
[00:01:26] 但是十年之后我们项目失败了
[00:01:29] 你是开心还是不开心
[00:01:30] 那么比如说有的地方水流比较湍急
[00:01:34] 有的地方水流比较平缓
[00:01:36] 那你在这两个地方怎么样去设计你的发动机
[00:01:40] 使得你的发动机能够更好的利用这部分能量
[00:01:43] 这个就是所谓的这个模型和Infra的co-design
[00:01:47] 那我觉得DeepSeq的这个深厚的Infra功底
[00:01:50] 可能是来自于就是他们之前做换方量化的时候
[00:01:53] 对这个性能的一些极致的
[00:01:55] 这个压榨
[00:01:57] 因为大家把Token和Den做一个类比的时候
[00:02:00] 可能会觉得就是Den它是比较通用的
[00:02:03] Den它是可以调制的
[00:02:04] 但是Token它是没有办法去做调制的
[00:02:07] 就是你没有办法说把一个DeepSeq模型的Token
[00:02:09] 转化为一个Kimi的Token
[00:02:11] 这个Token它是带着模型的烙印的
[00:02:18] 哈喽凯超先给观众朋友们打个招呼
[00:02:20] 大家好
[00:02:21] 我是游凯超
[00:02:23] 我是本科和博士都是毕业于清华大学的
[00:02:24] 我是本科和博士都是毕业于清华大学的
[00:02:25] 我是本科和博士都是毕业于清华大学的
[00:02:25] 然后现在是Infraact的联合创始人兼首席科学家
[00:02:30] 那我现在的主要任务呢
